Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco
119400.0,2.316,35,1755,446,1453,428,33.88,-117.57,43020.4019481334,65012.7904287074,134922.818778971,547933.638861899,615901.180719427
139200.0,4.2188,28,3391,550,1546,553,38.66,-121.3,69986.6148815677,580783.588104676,759124.117179258,156177.196708538,139548.955770573
187500.0,2.5682,25,1399,329,1308,355,32.8,-117.16,10369.566003906,171759.950165273,9370.28063254342,663034.210113671,731025.02380784
214500.0,5.5563,13,7910,1195,3382,1176,33.94,-117.34,60938.2931450635,84238.8973039506,137142.944542961,558294.27453226,626121.038150882
360700.0,5.1377,45,417,89,187,88,34.14,-118.4,16780.286212649,17390.1581669492,195699.483844887,474943.914978318,542960.185030802
88300.0,1.4423,32,2389,652,1672,584,37.93,-122.34,2439.95044215237,567089.94866167,745988.854699294,76937.6687044278,19111.7537849022
59400.0,2.1728,22,1814,342,941,323,39.41,-121.71,145513.483790484,670935.135749373,848969.501980334,231227.08073189,192414.176695588
91500.0,2.4537,35,1582,391,1957,404,33.89,-118.25,13661.4843204671,18049.1118264727,165194.222199365,505113.267060201,573100.064027857
179500.0,4.2292,36,1632,295,797,283,33.95,-118.02,25748.0328013286,23545.9415824475,158753.121419574,513902.118262583,581937.23444316
341500.0,3.6111,24,2307,510,842,507,37.5,-122.26,7625.17510465658,527385.436746356,705538.401360366,37215.4071760755,33993.8909911965
63000.0,1.8355,34,842,186,635,165,39.36,-121.69,140352.585305913,665229.037697211,843299.419927549,225811.320371034,187763.516636083
